crop,ideal_temp,ideal_rain,weather_rules,normal_timetable,adjustment_rules
Tomato,20-30°C,20-40mm,"Rainy: delay seeding; Hot: increase irrigation; Cold: protect seedlings","Day1:Seeding|Day2:Light Irrigation|Day3:Soil Prep|Day4:Water|Day5:Fertilizer NPK|Day7:Weeding|Day10:Support Stick Setup|Day14:Pest Spray|Day20:Pruning|Day25:Watering|Day30:Health Check","If rainy: shift seeding by 1 day; If >32°C: add evening irrigation; If <18°C: delay fertilizer by 2 days"
Onion,13-24°C,10-30mm,"Rainy: avoid water; Hot: mulch soil; Cold: reduce watering","Day1:Seeding|Day3:Light Water|Day4:Soil Loosening|Day7:Fertilizer|Day10:Weeding|Day14:Water|Day20:Pest Check|Day25:Pest Spray|Day30:Final Irrigation","If rainy: skip watering next day; If <12°C: shift seeding by 1 day"
Potato,15-20°C,30-60mm,"Rainy: avoid waterlogging; Hot: avoid afternoon irrigation","Day1:Planting|Day2:Ridge Making|Day3:Irrigation|Day7:Fertilizer|Day10:Soil Cover|Day12:Weeding|Day15:Water|Day20:Mound Soil|Day28:Pest Spray|Day30:Health Check","If rainy: move irrigation next day; If >25°C: reduce watering 20%"
Chilli,20-30°C,20-50mm,"Rainy: fungal risk; Hot: twice watering; Cold: slowed growth","Day1:Seeding|Day3:Irrigation|Day5:Fertilizer|Day7:Weeding|Day10:Pest Spray|Day14:Mulching|Day18:Water|Day22:Pesticide|Day25:Fertilizer|Day30:Health Check","If rainy: delay fertilizer; If <18°C: delay tasks by 1 day"
Brinjal,22-30°C,20-40mm,"Rainy: fungal spray; Hot: shade needed","Day1:Transplant|Day2:Water|Day5:Fertilizer|Day8:Weeding|Day12:Pest Spray|Day15:Water|Day18:Support Stick|Day22:Weeding|Day26:Pest Control|Day30:Health Check","If rainy: add fungicide; If >32°C: add mulch task"
Rice,20-35°C,150-200mm,"Rainy: beneficial; Cold: slows germination","Day1:Waterlogging|Day3:Sowing|Day5:Fertilizer|Day8:Weeding|Day12:Water|Day15:Pest Spray|Day20:Weeding|Day25:Fertilizer|Day28:Water|Day30:Health Check","If excessive rain: reduce irrigation; If <18°C: delay fertilizer"
Wheat,10-25°C,20-100mm,"Rainy: reduce irrigation; Cold: frost risk","Day1:Sowing|Day3:Light Water|Day6:Fertilizer|Day9:Weeding|Day12:Water|Day18:Fertilizer|Day22:Pest Spray|Day26:Weeding|Day30:Irrigation","If <10°C: shift sowing; If rainy: skip irrigation 2 days"
Soybean,20-30°C,30-50mm,"Rainy: fungal risk; Hot: increased irrigation","Day1:Sowing|Day3:Irrigation|Day6:Fertilizer|Day9:Weeding|Day14:Pest Check|Day18:Water|Day21:Weeding|Day25:Fertilizer|Day28:Pest Spray|Day30:Health Check","If rainy: add fungicide task; If >32°C: add evening water"
Cotton,21-30°C,20-40mm,"Rainy: harmful early; Hot: high water need","Day1:Sowing|Day3:Water|Day6:Fertilizer|Day10:Weeding|Day14:Pesticide|Day18:Water|Day22:Pest Spray|Day26:Weeding|Day30:Fertilizer","If rainy: shift sowing 2 days; If >34°C: increase irrigation"
Groundnut,25-30°C,50-100mm,"Rainy: avoid flood; Hot: shade needed","Day1:Sowing|Day3:Water|Day6:Weeding|Day9:Fertilizer|Day12:Water|Day16:Weeding|Day20:Pest Check|Day24:Fertilizer|Day27:Water|Day30:Health Check","If rainy: delay fertilizer; If >35°C: add mulching"
Sugarcane,20-30°C,75-150mm,"Rainy: good for growth; Hot: more irrigation","Day1:Planting|Day4:Water|Day7:Fertilizer|Day10:Weeding|Day14:Irrigation|Day18:Weeding|Day22:Fertilizer|Day25:Pest Spray|Day28:Water|Day30:Health Check","If >35°C: add evening water; If rainy: reduce irrigation"
Maize,18-27°C,50-75mm,"Rainy: lodging risk; Hot: dry stress","Day1:Sowing|Day3:Light Water|Day6:Fertilizer|Day9:Weeding|Day14:Water|Day18:Pest Control|Day22:Weeding|Day25:Fertilizer|Day28:Water|Day30:Health Check","If rainy: delay watering; If >30°C: add shade net advice"
